Joueur,Nation,Pos,Equipe,Comp,age,90,Buts,TC%,B/Tir,npxG,Cmp%,PD,PC
Brenden Aaronson,us USA,MTAT,Leeds United,eng Premier League,22-002,10.3,0.1,30.8,0.08,0.16,74.2,0.1,2.23
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35-026,12.0,0.0,0.0,0.0,0.03,80.4,0.0,0.25
Himad Abdelli,fr FRA,MTAT,Angers,fr Ligue 1,22-341,1.6,0.0,50.0,0.0,0.13,87.4,0.0,5.0
Salis Abdul Samed,gh GHA,MT,Lens,fr Ligue 1,22-212,12.0,0.08,16.7,0.17,0.02,91.7,0.0,0.42
Laurent Abergel,fr FRA,MT,Lorient,fr Ligue 1,29-265,9.0,0.0,0.0,0.0,0.02,90.4,0.11,0.67
Matthis Abline,fr FRA,ATMT,Rennes,fr Ligue 1,19-210,1.1,0.91,33.3,0.17,0.64,42.9,0.0,1.82
Zakaria Aboukhlal,ma MAR,ATMT,Toulouse,fr Ligue 1,22-248,10.5,0.29,37.0,0.11,0.28,68.7,0.29,0.67
Tammy Abraham,eng ENG,AT,Roma,it Serie A,25-022,8.5,0.24,39.3,0.07,0.56,72.0,0.12,1.18
Francesco Acerbi,it ITA,DF,Inter,it Serie A,34-256,4.9,0.0,0.0,0.0,0.02,89.1,0.0,0.2
Mohamed Achi,fr FRA,MT,Nantes,fr Ligue 1,20-281,0.4,0.0,0.0,0.0,0.0,86.4,0.0,2.5
Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,30-361,5.3,0.0,0.0,0.0,0.04,72.3,0.0,2.45
Che Adams,sct SCO,AT,Southampton,eng Premier League,26-103,9.1,0.33,47.4,0.16,0.25,69.5,0.11,1.32
Tyler Adams,us USA,MT,Leeds United,eng Premier League,23-252,10.0,0.0,0.0,0.0,0.0,83.4,0.0,1.2
Sargis Adamyan,am ARM,ATMT,Köln,de Bundesliga,29-154,3.0,0.33,57.1,0.14,0.37,74.7,0.0,2.0
Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,25-030,10.0,0.1,33.3,0.33,0.02,81.2,0.0,0.1
Martin Adeline,fr FRA,MT,Reims,fr Ligue 1,18-326,1.0,0.0,0.0,0.0,0.0,66.7,0.0,0.0
Karim Adeyemi,de GER,AT,Dortmund,de Bundesliga,20-279,3.5,0.0,60.0,0.0,0.26,74.4,0.0,2.29
Amine Adli,fr FRA,AT,Leverkusen,de Bundesliga,22-167,1.8,0.0,100.0,0.0,0.11,86.0,0.56,1.11
Yacine Adli,fr FRA,MT,Milan,it Serie A,22-087,1.3,0.0,100.0,0.0,0.15,69.8,0.0,1.54
Michel Aebischer,ch SUI,MTAT,Bologna,it Serie A,25-291,4.9,0.0,12.5,0.0,0.1,86.4,0.0,0.61
Felix Afena-Gyan,gh GHA,ATMT,Cremonese,it Serie A,19-278,1.5,0.0,0.0,0.0,0.07,90.5,0.0,0.67
Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25-129,8.8,0.0,33.3,0.0,0.05,85.8,0.0,0.34
Lucien Agoume,fr FRA,MT,Troyes,fr Ligue 1,20-257,1.2,0.0,0.0,0.0,0.0,83.1,0.0,1.67
Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,23-027,0.5,0.0,0.0,0.0,0.0,88.9,0.0,0.0
Álvaro Aguado,es ESP,MT,Valladolid,es La Liga,26-176,6.5,0.0,0.0,0.0,0.02,84.3,0.31,1.69
Kevin Agudelo,co COL,MTAT,Spezia,it Serie A,23-344,7.2,0.0,22.2,0.0,0.1,72.8,0.0,0.42
Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,29-181,3.5,0.0,0.0,0.0,0.0,80.1,0.0,0.0
Naouirou Ahamada,fr FRA,MT,Stuttgart,de Bundesliga,20-209,9.7,0.21,37.5,0.25,0.04,84.2,0.0,0.72
Jean-Eudes Aholou,ci CIV,MT,Strasbourg,fr Ligue 1,28-218,5.1,0.0,33.3,0.0,0.06,63.6,0.0,1.18
Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,27-025,10.0,0.0,0.0,0.0,0.01,84.0,0.0,0.1
Ola Aina,ng NGA,DF,Torino,it Serie A,26-016,6.4,0.16,50.0,0.17,0.08,75.9,0.0,1.09
Rayan Aït Nouri,fr FRA,DF,Wolves,eng Premier League,21-140,7.2,0.0,33.3,0.0,0.04,83.9,0.0,0.83
Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,21-303,5.7,0.0,33.3,0.0,0.04,79.7,0.0,0.53
Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,24-190,4.7,0.0,0.0,0.0,0.04,79.5,0.0,0.0
Ludovic Ajorque,re REU,AT,Strasbourg,fr Ligue 1,28-241,3.8,0.26,27.3,0.0,0.26,75.2,0.0,1.58
Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,27-097,5.0,0.0,0.0,0.0,0.04,93.5,0.0,0.0
Nathan Aké,nl NED,DF,Manchester City,eng Premier League,27-248,5.3,0.0,0.0,0.0,0.04,92.9,0.0,0.19
Sergio Akieme,es ESP,DF,Almería,es La Liga,24-312,11.0,0.0,35.7,0.0,0.05,79.6,0.0,0.64
Maghnes Akliouche,fr FRA,MTAT,Monaco,fr Ligue 1,20-241,1.9,0.0,100.0,0.0,0.05,76.4,0.0,2.63
Paul Akouokou,ci CIV,MT,Betis,es La Liga,24-308,1.3,0.0,100.0,0.0,0.0,95.3,0.0,0.0
Jean-Daniel Akpa-Akpro,ci CIV,MT,Empoli,it Serie A,30-013,0.6,0.0,0.0,0.0,0.0,88.2,0.0,1.67
Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,27-188,6.4,0.0,0.0,0.0,0.02,79.2,0.0,0.16
David Alaba,at AUT,DF,Real Madrid,es La Liga,30-122,9.9,0.1,10.0,0.1,0.07,89.1,0.3,1.01
Tomás Alarcón,cl CHI,MT,Cádiz,es La Liga,23-278,2.5,0.0,50.0,0.0,0.0,78.9,0.0,0.4
Lucas Alario,ar ARG,AT,Eint Frankfurt,de Bundesliga,30-016,2.4,0.42,25.0,0.13,0.88,86.4,0.0,0.42
Jordi Alba,es ESP,DF,Barcelona,es La Liga,33-217,4.6,0.0,0.0,0.0,0.04,87.9,0.22,2.17
Luis Alberto,es ESP,MT,Lazio,it Serie A,30-026,4.2,0.71,71.4,0.43,0.14,79.5,0.0,2.14
Raúl Albiol,es ESP,DF,Villarreal,es La Liga,37-050,10.9,0.0,0.0,0.0,0.0,88.8,0.0,0.0
Marc Albrighton,eng ENG,MT,Leicester City,eng Premier League,32-340,0.2,0.0,0.0,0.0,0.5,60.0,0.0,0.0
Thiago Alcántara,es ESP,MT,Liverpool,eng Premier League,31-196,4.2,0.0,0.0,0.0,0.0,85.5,0.0,1.19
Rubén Alcaraz,es ESP,MT,Cádiz,es La Liga,31-176,4.5,0.0,0.0,0.0,0.09,79.1,0.0,1.11
Iván Alejo,es ESP,MTAT,Cádiz,es La Liga,27-256,6.2,0.0,14.3,0.0,0.05,60.7,0.0,0.81
Doğan Alemdar,tr TUR,GB,Rennes,fr Ligue 1,19-360,2.5,0.0,0.0,0.0,0.0,68.5,0.0,0.0
Carles Aleñá,es ESP,MT,Getafe,es La Liga,24-292,8.5,0.24,33.3,0.17,0.08,76.3,0.12,0.47
Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,24-017,8.2,0.12,23.1,0.08,0.11,71.9,0.0,2.56
Alejandro Alfaro,es ESP,MT,Elche,es La Liga,20-131,0.2,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Ángel Algobia,es ESP,MT,Getafe,es La Liga,23-123,2.5,0.0,0.0,0.0,0.0,82.3,0.0,0.8
Mohamed Ali Cho,fr FRA,AT,Real Sociedad,es La Liga,18-278,2.7,0.0,55.6,0.0,0.26,62.0,0.74,1.85
Faride Alidou,de GER,DFAT,Eint Frankfurt,de Bundesliga,21-098,1.3,0.0,0.0,0.0,0.0,77.4,0.0,0.77
Alisson,br BRA,GB,Liverpool,eng Premier League,30-022,11.0,0.0,0.0,0.0,0.0,85.3,0.09,0.09
Jim Allevinah,ga GAB,ATMT,Clermont Foot,fr Ligue 1,27-239,5.4,0.19,27.3,0.09,0.15,78.1,0.0,0.37
Dele Alli,eng ENG,ATMT,Everton,eng Premier League,26-196,0.4,0.0,0.0,0.0,0.0,84.6,0.0,0.0
Domingos André Ribeiro Almeida,pt POR,MTAT,Valencia,es La Liga,22-147,5.1,0.2,100.0,0.25,0.06,78.6,0.39,1.37
Miguel Almirón,py PAR,AT,Newcastle Utd,eng Premier League,28-256,11.1,0.54,29.0,0.19,0.32,83.7,0.0,0.63
Marcos Alonso,es ESP,DF,Barcelona,es La Liga,31-300,2.5,0.0,0.0,0.0,0.0,93.6,0.0,0.0
Mickaël Alphonse,gp GLP,DF,Ajaccio,fr Ligue 1,33-104,7.1,0.0,0.0,0.0,0.03,67.3,0.0,0.99
Gastón Álvarez,uy URU,DF,Getafe,es La Liga,22-214,4.5,0.44,100.0,1.0,0.18,70.8,0.0,0.0
Julián Álvarez,ar ARG,AT,Manchester City,eng Premier League,22-266,2.4,0.83,57.1,0.29,0.33,86.2,0.0,1.25
Agustín Álvarez Martínez,uy URU,ATMT,Sassuolo,it Serie A,21-158,1.0,1.0,50.0,0.17,0.5,84.0,1.0,1.0
Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,27-273,8.7,0.0,0.0,0.0,0.02,83.8,0.11,0.57
Ibrahim Amadou,fr FRA,DFMT,Angers,fr Ligue 1,29-201,2.5,0.0,0.0,0.0,0.0,87.4,0.0,0.0
Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,27-307,7.2,0.0,0.0,0.0,0.0,91.0,0.0,0.42
Amath,sn SEN,ATMT,Mallorca,es La Liga,26-100,2.0,0.0,20.0,0.0,0.15,63.6,0.0,0.5
Jordan Amavi,fr FRA,DF,Getafe,es La Liga,28-229,0.1,0.0,0.0,0.0,0.0,66.7,0.0,0.0
Kelvin Amian,fr FRA,DF,Spezia,it Serie A,24-258,2.2,0.0,0.0,0.0,0.09,75.0,0.45,1.36
Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,20-294,0.6,0.0,0.0,0.0,0.0,66.7,0.0,0.0
Nadiem Amiri,de GER,MTAT,Leverkusen,de Bundesliga,25-362,1.7,0.0,33.3,0.0,0.0,84.4,0.0,1.76
Ethan Ampadu,wls WAL,DF,Spezia,it Serie A,22-040,5.3,0.0,25.0,0.0,0.09,79.7,0.0,0.38
Sofyan Amrabat,ma MAR,MT,Fiorentina,it Serie A,26-064,6.3,0.0,33.3,0.0,0.02,88.7,0.0,1.11
Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,26-146,10.0,0.1,42.9,0.14,0.09,81.5,0.0,0.3
Elliot Anderson,sct SCO,ATMT,Newcastle Utd,eng Premier League,19-352,1.0,0.0,0.0,0.0,0.6,76.6,0.0,3.0
Felipe Anderson,br BRA,AT,Lazio,it Serie A,29-192,9.5,0.21,54.5,0.18,0.11,80.9,0.21,1.37
Benjamin André,fr FRA,MT,Lille,fr Ligue 1,32-082,10.5,0.1,12.5,0.13,0.06,85.8,0.1,0.76
Komnen Andrić,rs SRB,AT,Clermont Foot,fr Ligue 1,27-115,8.4,0.36,27.8,0.11,0.23,76.4,0.12,0.83
Robert Andrich,de GER,MT,Leverkusen,de Bundesliga,28-032,7.9,0.0,14.3,0.0,0.13,85.8,0.25,0.63
Angeliño,es ESP,DF,Hoffenheim,de Bundesliga,25-293,9.0,0.0,37.5,0.0,0.04,67.3,0.11,1.78
Fabrizio Angileri,ar ARG,DF,Getafe,es La Liga,28-223,5.3,0.0,0.0,0.0,0.0,61.7,0.0,0.0
Jaidon Anthony,eng ENG,ATDF,Bournemouth,eng Premier League,22-327,2.1,0.48,75.0,0.25,0.24,64.5,0.0,0.48
Janis Antiste,fr FRA,AT,Sassuolo,it Serie A,20-067,0.6,1.67,100.0,1.0,0.17,76.5,0.0,0.0
Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,26-096,10.9,0.0,25.0,0.0,0.02,84.3,0.0,0.37
Marcos Antônio,br BRA,MT,Lazio,it Serie A,22-133,2.2,0.0,0.0,0.0,0.0,91.3,0.0,0.0
Michail Antonio,jm JAM,AT,West Ham,eng Premier League,32-210,5.7,0.35,38.5,0.15,0.35,53.7,0.18,0.88
Antony,br BRA,AT,Manchester Utd,eng Premier League,22-242,5.5,0.55,45.0,0.15,0.25,80.6,0.0,1.27
Valentin Antov,bg BUL,DF,Monza,it Serie A,21-349,1.6,0.0,0.0,0.0,0.0,84.3,0.0,0.63
Christopher Antwi-Adjei,gh GHA,AT,Bochum,de Bundesliga,28-259,2.4,0.0,0.0,0.0,0.08,66.1,0.83,2.08
Anuar,ma MAR,MTAT,Valladolid,es La Liga,27-282,2.3,0.43,33.3,0.33,0.35,71.8,0.0,0.87
Houssem Aouar,fr FRA,MT,Lyon,fr Ligue 1,24-116,1.9,0.53,60.0,0.2,0.42,82.5,0.0,0.53
Adil Aouchiche,fr FRA,MT,Lorient,fr Ligue 1,20-101,0.2,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,30-137,8.2,0.0,20.0,0.0,0.02,73.6,0.0,0.37
Mauro Arambarri,uy URU,MT,Getafe,es La Liga,27-024,5.7,0.0,0.0,0.0,0.02,82.1,0.18,1.4
Charles Aránguiz,cl CHI,MT,Leverkusen,de Bundesliga,33-190,5.5,0.18,40.0,0.2,0.04,80.9,0.0,0.91
Ronald Araújo,uy URU,DF,Barcelona,es La Liga,23-231,5.7,0.0,0.0,0.0,0.11,87.9,0.0,0.18
Cameron Archer,eng ENG,ATMT,Aston Villa,eng Premier League,20-319,0.5,0.0,0.0,0.0,0.0,66.7,0.0,0.0
Alphonse Areola,fr FRA,GB,West Ham,eng Premier League,29-239,0.7,0.0,0.0,0.0,0.0,69.2,0.0,0.0
Joe Aribo,ng NGA,MTAT,Southampton,eng Premier League,26-095,9.1,0.22,63.6,0.18,0.16,71.9,0.0,0.88
Adam Armstrong,eng ENG,AT,Southampton,eng Premier League,25-256,8.7,0.11,41.7,0.08,0.15,73.5,0.11,0.92
Stuart Armstrong,sct SCO,MTAT,Southampton,eng Premier League,30-208,5.4,0.19,20.0,0.1,0.15,84.4,0.0,1.67
Marko Arnautović,at AUT,AT,Bologna,it Serie A,33-188,9.6,0.73,43.8,0.25,0.28,71.4,0.0,1.46
Maximilian Arnold,de GER,MT,Wolfsburg,de Bundesliga,28-150,10.5,0.19,36.4,0.09,0.03,75.6,0.0,1.62
Kepa Arrizabalaga,es ESP,GB,Chelsea,eng Premier League,28-021,5.0,0.0,0.0,0.0,0.0,76.3,0.0,0.0
Roberto Arroyo,es ESP,MT,Valladolid,es La Liga,19-060,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tolgay Arslan,de GER,MT,Udinese,it Serie A,32-069,3.1,0.32,33.3,0.17,0.16,83.3,0.0,0.0
Arthur,br BRA,AT,Fiorentina,it Serie A,24-182,3.3,0.3,0.0,0.0,0.27,80.3,0.3,0.91
Santiago Arzamendia,py PAR,MTDF,Cádiz,es La Liga,24-172,2.8,0.0,33.3,0.0,0.04,70.6,0.0,1.43
Takuma Asano,jp JPN,MTAT,Bochum,de Bundesliga,27-348,4.4,0.0,37.5,0.0,0.11,72.0,0.0,1.82
Santiago Ascacíbar,ar ARG,MT,Cremonese,it Serie A,25-241,5.1,0.0,33.3,0.0,0.06,81.9,0.0,0.59
Sergio Asenjo,es ESP,GB,Valladolid,es La Liga,33-118,5.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0
Marco Asensio,es ESP,ATMT,Real Madrid,es La Liga,26-276,0.7,1.43,50.0,0.25,0.86,85.7,1.43,5.71
Kristoffer Askildsen,no NOR,MT,Lecce,it Serie A,21-288,5.0,0.0,28.6,0.0,0.06,68.0,0.0,1.2
Kristjan Asllani,al ALB,MT,Inter,it Serie A,20-229,1.8,0.0,0.0,0.0,0.06,91.3,0.0,0.56
Iago Aspas,es ESP,AT,Celta Vigo,es La Liga,35-084,9.2,0.65,47.1,0.29,0.21,77.8,0.11,1.96
Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,22-124,2.0,0.0,50.0,0.0,0.05,87.4,0.5,0.5
Youcef Atal,dz ALG,DF,Nice,fr Ligue 1,26-160,4.4,0.0,50.0,0.0,0.02,77.9,0.0,1.36
Pierre-Emerick Aubameyang,ga GAB,AT,Chelsea,eng Premier League,33-128,2.4,0.42,50.0,0.25,0.13,75.0,0.0,0.83
Pierre-Emerick Aubameyang,ga GAB,DF,Barcelona,es La Liga,33-128,0.1,0.0,0.0,0.0,1.0,100.0,0.0,0.0
Emil Audero,it ITA,GB,Sampdoria,it Serie A,25-279,10.0,0.0,0.0,0.0,0.0,68.5,0.0,0.0
Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,28-055,9.3,0.0,0.0,0.0,0.01,76.2,0.22,0.75
Ludwig Augustinsson,se SWE,DF,Aston Villa,eng Premier League,28-186,0.5,0.0,0.0,0.0,0.0,50.0,0.0,0.0
Serge Aurier,ci CIV,DF,Nott'ham Forest,eng Premier League,29-304,2.9,0.0,0.0,0.0,0.0,70.5,0.0,0.69
Mathias Autret,fr FRA,MT,Auxerre,fr Ligue 1,31-237,7.9,0.25,66.7,0.08,0.11,78.0,0.13,1.01
Ezequiel Ávila,ar ARG,ATMT,Osasuna,es La Liga,28-260,6.6,0.45,33.3,0.1,0.24,53.4,0.15,1.36
Cédric Avinel,gp GLP,DF,Ajaccio,fr Ligue 1,36-043,7.1,0.14,50.0,0.5,0.13,84.2,0.0,0.0
Taiwo Awoniyi,ng NGA,AT,Nott'ham Forest,eng Premier League,25-073,4.9,0.61,42.9,0.21,0.57,79.3,0.0,1.02
Mehmet-Can Aydin,de GER,DF,Schalke 04,de Bundesliga,20-257,2.1,0.0,0.0,0.0,0.1,65.6,0.0,0.0
Jordan Ayew,gh GHA,ATMT,Crystal Palace,eng Premier League,31-043,8.1,0.0,60.0,0.0,0.07,81.8,0.12,1.48
Kaan Ayhan,tr TUR,DF,Sassuolo,it Serie A,27-348,3.1,0.0,100.0,0.0,0.0,89.3,0.0,0.0
Luke Ayling,eng ENG,DF,Leeds United,eng Premier League,31-060,1.6,0.0,0.0,0.0,0.06,78.5,0.63,0.63
Sardar Azmoun,ir IRN,MTAT,Leverkusen,de Bundesliga,27-296,3.1,0.0,36.4,0.0,0.48,60.5,0.0,1.94
César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,33-057,6.0,0.0,33.3,0.0,0.02,84.0,0.0,1.33
Iddrisu Baba,gh GHA,MT,Mallorca,es La Liga,26-275,3.6,0.0,0.0,0.0,0.0,82.8,0.0,0.0
Srđan Babić,rs SRB,DF,Almería,es La Liga,26-185,10.0,0.1,100.0,0.5,0.03,88.0,0.0,0.3
Loïc Bade,fr FRA,DF,Rennes,fr Ligue 1,22-196,1.0,0.0,0.0,0.0,0.2,91.8,1.0,0.0
Édgar Badía,es ESP,GB,Elche,es La Liga,30-254,11.0,0.0,0.0,0.0,0.0,72.3,0.0,0.09
Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,21-212,8.3,0.24,60.0,0.4,0.05,85.9,0.0,0.12
Alex Baena,es ESP,MTAT,Villarreal,es La Liga,21-096,6.1,0.66,50.0,0.22,0.28,73.5,0.0,1.31
